Name,Disaster,BeginDate,EndDate,Cost,Deaths,Year,disasterType,impactScale
Rockies/Central Plains Severe Weather (June 2014),Severe Storm,20140603,20140605,2,2,2014,4,1
Midwest Tornado Outbreak (March 2017),Severe Storm,20170306,20170308,2,2,2017,4,1
Hurricane Dolly (July 2008),Tropical Cyclone,20080723,20080725,1,3,2008,5,1
Hurricane Bonnie (August 1998),Tropical Cyclone,19980827,19980829,2,3,1998,5,1
Illinois Flooding and Severe Weather (April 2013),Flooding,20130416,20130419,1,4,2013,2,1
Midwest/Plains Tornadoes (April 1994),Severe Storm,19940425,19940427,2,3,1994,4,1
Midwest/Southeast Tornadoes and Severe Weather (June 2011),Severe Storm,20110618,20110622,2,3,2011,4,1
"Severe Storms, Hail, Tornadoes (May 2004)",Severe Storm,20040521,20040527,1,4,2004,4,1
Southern Plains Tornadoes (May 2015),Severe Storm,20150506,20150510,1,4,2015,4,1
Southeast Tornadoes (March 2008),Severe Storm,20080314,20080315,1,5,2008,4,1
Midwest Tornadoes (April 2012),Severe Storm,20120413,20120414,1,6,2012,4,1
California Flooding (February 2017),Flooding,20170208,20170222,2,5,2017,2,1
Midwest/Plains Severe Weather (July 2003),Severe Storm,20030704,20030709,1,7,2003,4,1
Severe Storms/Hail (April 2003),Severe Storm,20030404,20030407,3,3,2003,4,1
Hurricane Erin (August 1995),Tropical Cyclone,19950801,19950807,1,6,1995,5,1
Ohio Valley Tornadoes (November 2013),Severe Storm,20131117,20131117,1,8,2013,4,1
California Wildfires (Fall 1993),Wildfire,19930901,19931130,2,4,1993,6,1
Severe Weather (July 2003),Severe Storm,20030721,20030723,1,7,2003,4,1
South/Southeast Severe Weather & Tornadoes (April 2009),Severe Storm,20090409,20090410,2,6,2009,4,1
"Texas, New Mexico, Arizona Wildfires (Summer-Fall 2011)",Wildfire,20110601,20111130,2,5,2011,6,1
Southeast and Eastern Tornadoes (February 2016),Severe Storm,20160222,20160224,1,10,2016,4,1
Central/Southeast Tornado Outbreak (March 2017),Severe Storm,20170228,20170301,2,6,2017,4,1
Missouri River flooding (May-June 2011),Flooding,20110501,20110630,2,5,2011,2,1
"Oklahoma, Kansas, and Texas Tornadoes and Severe Weather (May 2010)",Severe Storm,20100510,20100512,4,3,2010,4,1
Western Wildfires (Summer-Fall 2009),Wildfire,20090601,20091130,1,10,2009,6,1
Texas and Louisiana Flooding (March 2016),Flooding,20160308,20160312,2,5,2016,2,1
Hurricane Elena (September 1985),Tropical Cyclone,19850830,19850903,3,4,1985,5,1
Midwest/Ohio Valley Hail and Tornadoes (April 2001),Severe Storm,20010406,20010411,4,3,2001,4,1
Pacific Northwest Severe Flooding (February 1996),Flooding,19960207,19960212,2,9,1996,2,1
Colorado Flooding (September 2013),Flooding,20130910,20130916,2,9,2013,2,1
South/Southeast Tornadoes (April 2016),Severe Storm,20160426,20160502,3,6,2016,4,1
Western Wildfires (Summer-Fall 2012),Wildfire,20120601,20121130,2,8,2012,6,1
Western Severe Storms and Flooding (February 1986),Severe Storm,19860214,19860216,1,13,1986,4,1
Southern Severe Storms and Flooding (April 1980),Flooding,19800410,19800417,2,7,1980,2,1
Northeast Winter Storm (March 2018),Winter Storm,20180301,20180303,2,9,2018,8,1
